iata_code,name,type,municipality,iso_country,latitude_deg,longitude_deg,route_count,inbound_route_count,type_score,major_score
LGH,Leigh Creek Airport,medium_airport,,AU,-30.598301,138.425995,0,0,1.0,1.0
LNO,Leonora Airport,medium_airport,Leonora,AU,-28.87809944152832,121.31500244140624,0,0,1.0,1.0
LHG,Lightning Ridge Airport,medium_airport,,AU,-29.452857,147.977146,0,0,1.0,1.0
LER,Leinster Airport,medium_airport,,AU,-27.843299865722656,120.7030029296875,0,0,1.0,1.0
TGN,Latrobe Valley Airport,medium_airport,Morwell,AU,-38.211004,146.470817,0,0,1.0,1.0
MRG,Mareeba Airport,medium_airport,Mareeba,AU,-17.070277,145.424228,0,0,1.0,1.0
DGE,Mudgee Airport,medium_airport,Mudgee,AU,-32.564794,149.609452,0,0,1.0,1.0
MKR,Meekatharra Airport,medium_airport,,AU,-26.6117000579834,118.5479965209961,0,0,1.0,1.0
MBW,Melbourne Moorabbin Airport,medium_airport,Melbourne,AU,-37.977765,145.099799,0,0,1.0,1.0
WME,Mount Keith Airport,medium_airport,,AU,-27.28733,120.554937,0,0,1.0,1.0
MMG,Mount Magnet Airport,medium_airport,,AU,-28.116100311279297,117.84200286865234,0,0,1.0,1.0
RRE,Marree Airport,medium_airport,,AU,-29.6633,138.065002,0,0,1.0,1.0
NAA,Narrabri Airport,medium_airport,Narrabri,AU,-30.3192005157,149.82699585,0,0,1.0,1.0
RPM,Ngukurr Airport,medium_airport,,AU,-14.7228,134.746994,0,0,1.0,1.0
QRM,Narromine Airport,medium_airport,,AU,-32.214699,148.225006,0,0,1.0,1.0
PPI,Port Pirie Airport,medium_airport,,AU,-33.238899,137.994995,0,0,1.0,1.0
JAD,Perth Jandakot Airport,medium_airport,Perth,AU,-32.09749984741211,115.88099670410156,0,0,1.0,1.0
PKT,Port Keats Airport,medium_airport,Wadeye,AU,-14.249701,129.529538,0,0,1.0,1.0
KTR,Tindal Airport,medium_airport,,AU,-14.521100044250488,132.3780059814453,0,0,1.0,1.0
RMK,Renmark Airport,medium_airport,,AU,-34.1964,140.673996,0,0,1.0,1.0
BWU,Sydney Bankstown Airport,medium_airport,Sydney,AU,-33.923618,150.990792,0,0,1.0,1.0
CDU,Camden Airport,medium_airport,Cobbitty,AU,-34.038338,150.686406,0,0,1.0,1.0
MJK,Shark Bay Airport,medium_airport,Denham,AU,-25.897294,113.575802,0,0,1.0,1.0
WOL,Shellharbour Airport,medium_airport,Albion Park Rail,AU,-34.5611,150.789001,0,0,1.0,1.0
SHT,Shepparton Airport,medium_airport,,AU,-36.428341,145.391473,0,0,1.0,1.0
SIO,Smithton Airport,medium_airport,,AU,-40.834999084472656,145.08399963378906,0,0,1.0,1.0
SNB,Snake Bay Airport,medium_airport,Milikapiti,AU,-11.417674,130.648481,0,0,1.0,1.0
NOA,Naval Air Station Nowra - HMAS Albatross,medium_airport,Nowra Hill,AU,-34.9466,150.542451,0,0,1.0,1.0
XRH,RAAF Base Richmond,medium_airport,Richmond,AU,-33.604652,150.783051,0,0,1.0,1.0
SWH,Swan Hill Airport,medium_airport,,AU,-35.37580108642578,143.5330047607422,0,0,1.0,1.0
SWC,Stawell Airport,medium_airport,,AU,-37.07170104980469,142.74099731445312,0,0,1.0,1.0
TEF,Telfer Airport,medium_airport,,AU,-21.715,122.228996,0,0,1.0,1.0
TEM,Temora Airport,medium_airport,Temora,AU,-34.421398,147.511993,0,0,1.0,1.0
TYB,Tibooburra Airport,medium_airport,,AU,-29.451099,142.057999,0,0,1.0,1.0
TUM,Tumut Aerodrome,medium_airport,Tumut,AU,-35.26832,148.240526,0,0,1.0,1.0
THG,Thangool Airport,medium_airport,Biloela,AU,-24.494863,150.577967,0,0,1.0,1.0
TCA,Tennant Creek Airport,medium_airport,Tennant Creek,AU,-19.6343994140625,134.18299865722656,0,0,1.0,1.0
WGT,Wangaratta Airport,medium_airport,Laceby,AU,-36.417914,146.306896,0,0,1.0,1.0
WKB,Warracknabeal Airport,medium_airport,,AU,-36.32109832763672,142.41900634765625,0,0,1.0,1.0
WGE,Walgett Airport,medium_airport,,AU,-30.032801,148.126007,0,0,1.0,1.0
WUN,Wiluna Airport,medium_airport,,AU,-26.629199981689453,120.22100067138672,0,0,1.0,1.0
SXE,West Sale Airport,medium_airport,Sale,AU,-38.090827,146.965335,0,0,1.0,1.0
WWY,West Wyalong Airport,medium_airport,West Wyalong,AU,-33.9371986389,147.190994263,0,0,1.0,1.0
NGA,Young Airport,medium_airport,,AU,-34.255576,148.247118,0,0,1.0,1.0
FLS,Flinders Island Airport,small_airport,Whitemark,AU,-40.091702,147.992996,1,2,0.25,0.8411480975577238
RVT,Ravensthorpe Airport,small_airport,,AU,-33.7971992493,120.208000183,1,2,0.25,0.8411480975577238
ZBL,Biloela Airport,small_airport,Biloela,AU,-24.320816,150.509627,1,1,0.25,0.725300923812534
MGT,Milingimbi Airport,small_airport,Milingimbi Island,AU,-12.0944004059,134.893997192,1,1,0.25,0.725300923812534
MCV,McArthur River Mine Airport,small_airport,McArthur River Mine,AU,-16.4424991608,136.083999634,1,1,0.25,0.725300923812534
ABM,Northern Peninsula Airport,small_airport,Bamaga,AU,-10.946194,142.455081,1,1,0.25,0.725300923812534
OLP,Olympic Dam Airport,small_airport,Olympic Dam,AU,-30.483861,136.876699,1,1,0.25,0.725300923812534
RCM,Richmond Airport,small_airport,,AU,-20.70190048217773,143.11500549316406,1,1,0.25,0.725300923812534
ANZ,Angus Downs Airport,small_airport,Angus Downs Station,AU,-25.0325,132.2748,0,0,0.25,0.25
LYT,Lady Elliot Island Airstrip,small_airport,Lady Elliot Island,AU,-24.1129,152.7156,0,0,0.25,0.25
GYZ,Gruyere Airport,small_airport,Cosmo Newbery,AU,-28.034548,123.81506,0,0,0.25,0.25
AGW,Agnew Airport,small_airport,Agnew,AU,-12.1456,142.149369,0,0,0.25,0.25
AYD,Alroy Downs Airport,small_airport,Alroy Downs,AU,-19.2908,136.078995,0,0,0.25,0.25
BYX,Baniyala Airport,small_airport,Baniyala,AU,-13.1981,136.227005,0,0,0.25,0.25
COB,Coolibah Airport,small_airport,Coolibah,AU,-15.548299789428713,130.96200561523438,0,0,0.25,0.25
CRJ,Coorabie Airport,small_airport,Coorabie,AU,-31.894399642944336,132.29600524902344,0,0,0.25,0.25
CRY,Carlton Hill Airport,small_airport,Carlton Hill,AU,-15.50189971923828,128.53399658203125,0,0,0.25,0.25
CSD,Cresswell Downs Airport,small_airport,Cresswell Downs,AU,-17.947999954223633,135.91600036621094,0,0,0.25,0.25
DYM,Diamantina Lakes Airport,small_airport,Diamantina Lakes,AU,-23.761699676513672,141.14500427246094,0,0,0.25,0.25
HLV,Helenvale Airport,small_airport,Helenvale,AU,-15.685799598693848,145.21499633789062,0,0,0.25,0.25
KBD,Kimberley Downs Airport,small_airport,Kimberley Downs,AU,-17.39780044555664,124.3550033569336,0,0,0.25,0.25
